venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,HKDRUB_TOM,7.8048,7.8048,7.8048,7.8048,11000,85852,2022-11-14 11:02:00+00:00
MOEX,HKDRUB_TOM,7.8048,7.8048,7.8048,7.8048,1000,7804,2022-11-14 11:03:00+00:00
MOEX,HKDRUB_TOM,7.8048,7.8048,7.8048,7.8048,13000,101462,2022-11-14 11:04:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.8047,7.804,7.8047,9000,70238,2022-11-14 11:05:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.8047,7.8047,7.8047,1000,7804,2022-11-14 11:06:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.805,7.8047,7.805,1100000,8585466,2022-11-14 11:07:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1001000,7812805,2022-11-14 11:08:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1002000,7820610,2022-11-14 11:09:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,2021000,15773905,2022-11-14 11:10:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1326000,10349430,2022-11-14 11:11:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8,7.802,93000,725852,2022-11-14 11:12:00+00:00
MOEX,HKDRUB_TOM,7.802,7.805,7.802,7.805,12000,93657,2022-11-14 11:13:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8,7.805,2039000,15914249,2022-11-14 11:14:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,11000,85855,2022-11-14 11:15:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.7915,7.7915,123000,958444,2022-11-14 11:16:00+00:00
MOEX,HKDRUB_TOM,7.8049,7.805,7.8049,7.805,1002000,7820602,2022-11-14 11:17:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1005000,7844025,2022-11-14 11:18:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1000000,7805000,2022-11-14 11:19:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1000000,7805000,2022-11-14 11:20:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,1928000,15048040,2022-11-14 11:21:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.8,7.8,4000,31200,2022-11-14 11:22:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,8000,62440,2022-11-14 11:23:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8,7.8048,352000,2745794,2022-11-14 11:24:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.8047,7.8,7.8047,61000,476082,2022-11-14 11:26:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.8047,7.8047,7.8047,73000,569743,2022-11-14 11:27:00+00:00
MOEX,HKDRUB_TOM,7.8047,7.8048,7.7921,7.7921,97000,757003,2022-11-14 11:28:00+00:00
MOEX,HKDRUB_TOM,7.8048,7.805,7.8048,7.805,60000,468297,2022-11-14 11:29:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,18000,140490,2022-11-14 11:30:00+00:00
MOEX,HKDRUB_TOM,7.7921,7.805,7.7921,7.805,9000,70206,2022-11-14 11:31:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8,7.8,3000,23410,2022-11-14 11:32:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,10000,78050,2022-11-14 11:33:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8049,7.8049,17000,132684,2022-11-14 11:34:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,30000,234150,2022-11-14 11:35:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.805,7.805,75000,585375,2022-11-14 11:36:00+00:00
MOEX,HKDRUB_TOM,7.8,7.8,7.7922,7.7922,9000,70176,2022-11-14 11:37:00+00:00
MOEX,HKDRUB_TOM,7.805,7.805,7.8049,7.8049,14000,109269,2022-11-14 11:38:00+00:00
